PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Lovell Rd,NE of Thompson Rd,Knox,47000085,TDOT,,93000085,ACTIVE,,-84.13077194,35.94574385,7320,7840,8590,8733,8778,9137,11341,11748,10914,11854,11615,10294,11685,12944,11970,12325,12565,13964,15371,14076,15485,13731,15927,15462
Ball Camp Byington Rd,N of Hardin Valley Rd,Knox,47000086,TDOT,,93000086,ACTIVE,,-84.12592594,35.95769785,9028,7492,8362,9638,9645,10063,10283,10496,9669,10274,9507,8768,10221,11172,11717,11201,11248,9630,9726,9606,9009,8847,9297,8927
I-40,W of Asheville Hwy,Knox,47000176,TDOT,,93000176,ACTIVE,,-83.84714751,36.01210626,101318,106378,106102,102748,101081,97418,102306,97214,98566,98877,118511,111421,99058,104813,114588,95835,101932,98613,106906,104665,106366,96040,102519,110907
Henderson Ln,At Anderson Co Line,Knox,47000178,TDOT,,93000178,ACTIVE,,-84.13374294,35.99406486,865,894,914,1020,1155,1256,1132,1007,969,972,1039,1082,1010,1079,1058,990,914,951,961,977,1129,1079,1152,1163
Maynardville Pk,S of Rifle Range Dr,Knox,553,TDOT,This counter was given a local ID of 553 in 2020.,553,ACTIVE,,-83.92393876,36.05634022,,,,,,,,,,,,34422,32600,32673,35577,36644,35420,34053,35220,33769,33912,29352,32338,32105
I-40,E. of I-275,Knox,47000460,TDOT,"Moved to just south of HOF bridge in 2021, per MC finding the counter in Streetview",93000460,ACTIVE,,-83.91836288,35.97889887,,,,,,,,,,,,63208,71072,71813,73716,71301,83724,72400,79200,97840,87021,80617,89950,90524
Murphy Rd,N of Washington Pk,Knox,47000462,TDOT,,93000462,ACTIVE,093M374,-83.87580187,36.05338488,,,,,,,,,,,,10443,9843,10453,10363,10752,11436,11935,12323,11545,12141,11040,11703,11952
Cunningham Rd,W of Maynardville Pk,Knox,47000463,TDOT,,93000463,ACTIVE,,-83.93692189,36.07272089,,,,,,,,,,,,7995,7383,8321,8660,7695,8218,9146,9676,8709,8659,8193,8808,8958
Murdock Dr,E of Dutchtown Rd,Knox,47000464,TDOT,,93000464,ACTIVE,093M357,-84.13995594,35.91870385,,,,,,,,,,,,6681,6337,5855,6574,6119,6775,7147,6861,6476,6555,5973,5524,5586
Andes Rd,Between Ball Camp Pk and Cureton Rd,Knox,47000465,TDOT,,93000465,ACTIVE,093M363,-84.09991993,35.95914486,,,,,,,,,,,,3999,3875,4282,4031,4287,4238,4210,4440,3684,4053,4128,4917,4086
Delrose Dr,N of Riverside Dr,Knox,47000300,TDOT,,93000300,ACTIVE,,-83.88033087,35.97139887,2575,3258,2846,2947,3081,3092,3079,3344,3306,3074,4015,3095,2645,2947,2742,2951,3172,3362,3441,3291,3891,4047,4110,3682
Roberts Rd,S of Shelton Ln,Knox,47000302,TDOT,,93000302,ACTIVE,,-83.79379485,36.1030959,2092,1916,2265,2526,2186,2326,2175,2124,2274,1924,1852,1902,1719,1853,1834,1966,1973,1993,2358,2482,2737,2281,2181,2295
Campbell Station Rd,S of Yarnell Rd,Knox,47000303,TDOT,,93000303,ACTIVE,,-84.18600195,35.90975184,1940,3378,2367,3067,2907,2623,2978,3169,3436,3860,4176,3759,4256,4385,4271,4332,4779,5583,5568,5593,5495,4910,5714,6153
Harris Rd,S of Link Rd,Knox,47000307,TDOT,,93000307,ACTIVE,,-83.84698286,36.05046188,791,953,918,1078,1117,1151,1228,1125,974,1094,1210,1185,1073,1218,1217,1282,1388,1402,1389,1409,1531,1351,1419,1337
Washington Pk,S of Valley View Dr,Knox,47000308,TDOT,,93000308,ACTIVE,,-83.88487187,36.02932388,7452,7758,7153,9188,9447,9825,9568,9425,9840,9093,9498,8333,9458,8787,8838,9103,9376,9469,9738,9911,10113,10214,10725,8352
Sevier Ave,W of Jones Rd,Knox,47000310,TDOT,,93000310,ACTIVE,,-83.90991288,35.95720186,13688,9425,10538,9779,9836,6311,6939,6456,6649,7093,7072,5002,4824,4969,4425,4009,5052,4400,5043,4916,5200,5237,5499,6375
N Cherry St,N of Mitchell St,Knox,47000311,TDOT,,93000311,ACTIVE,,-83.90285088,35.99378887,11591,13258,14168,14547,13755,14524,10414,10931,10110,10169,10017,8411,8845,9471,10233,9145,9102,9546,9290,9757,10767,8842,9385,10023
Washington Pk,E of Teeple St,Knox,47000312,TDOT,,93000312,ACTIVE,,-83.90901988,36.00509087,7176,7419,7755,7187,7754,8000,7331,7059,7545,7371,7305,7400,6169,6500,5919,5831,7202,6363,7004,6266,5890,5540,5383,5615
Atlantic Av,E of Oswald St,Knox,47000313,TDOT,,93000313,ACTIVE,,-83.92851688,35.99936687,5197,4628,4969,4561,4689,4687,4409,4092,4398,4090,4252,3838,3676,3579,3703,3367,3678,4276,3701,3695,3521,3003,3288,3204
Woodland Av,W of Central St,Knox,47000314,TDOT,,93000314,ACTIVE,,-83.93307288,35.98359187,19892,18928,17615,16049,15778,18604,16253,16137,16100,15638,18451,17644,13805,14826,14272,14461,14294,15309,14853,14846,15179,10566,11242,12102
Baxter Av,W of Lee St,Knox,47000315,TDOT,,93000315,ACTIVE,,-83.93166788,35.97880987,11018,9115,11090,8959,9433,10549,8310,9059,9228,9505,7887,7405,7163,7035,6691,7290,7174,7786,7811,8510,8042,7201,7561,7478
Moody Av,E of Chapman Hwy,Knox,47000374,TDOT,,93000374,ACTIVE,,-83.90700887,35.93855686,9995,8475,8098,9563,9690,10370,10025,9034,8685,8810,8465,8558,9415,9149,17799,10269,9407,9008,9098,9297,9777,7918,8381,7803
Moody Av,W of Chapman Hwy,Knox,47000375,TDOT,,93000375,ACTIVE,,-83.90945487,35.93681186,5472,4031,3955,4213,4175,4321,4691,4453,4386,4048,3623,3403,3805,3750,5173,3563,3532,4518,3647,4596,4359,4077,4729,4525
Hendron Chapel Rd,E of Shortcut Rd,Knox,47000376,TDOT,,93000376,ACTIVE,,-83.81808085,35.90215585,4609,4355,4006,4214,4495,4474,4045,3967,4357,3968,3636,3523,3725,3754,3994,3537,3774,4060,4207,4072,3510,3557,3808,3766
Western Av,E of 44th St,Knox,47000377,TDOT,,93000377,ACTIVE,,-83.9809829,35.97376186,51580,51752,53601,53519,49313,54597,51789,48771,46878,47050,48418,45507,43798,44235,41404,42975,43405,44032,45343,44939,44346,38424,52000,51428
Everett Rd,At Loudon Co Line,Knox,47000244,TDOT,,93000244,ACTIVE,,-84.23478397,35.87325683,6641,6924,7082,7323,7345,7565,8088,7601,8033,8833,8324,8637,8855,9435,8473,8964,9998,10742,11504,11149,12629,9922,11502,10754
I-275,N of Baxter Ave,Knox,47000249,TDOT,,93000249,ACTIVE,,-83.93636709,35.97854486,59355,55694,60504,58624,55988,59176,59731,55087,60276,57413,59432,60065,59312,59023,60760,59286,61953,61776,74393,78392,71386,63176,64366,59409
Laurel Av,Between 17th St & 16th St,Knox,47000408,TDOT,,93000408,ACTIVE,,-83.93285188,35.95919286,1118,1420,1594,1099,1099,1144,1065,1239,1129,1130,1350,1292,1274,1056,1078,1034,963,1039,1049,969,980,1354,640,782
Highland Ave,Between 17th St & 16th St,Knox,47000409,TDOT,,93000409,ACTIVE,,-83.93362488,35.96031786,2766,2516,2505,2492,2138,1860,1902,1983,2422,2751,2871,2739,2499,2637,2706,2418,2749,3342,3053,2625,2524,2889,2231,2402
Forest Av,Between 17th St & 16th St,Knox,47000410,TDOT,,93000410,ACTIVE,,-83.93416988,35.96121086,1999,1765,1708,1602,1495,1540,1330,1242,1363,1501,1487,1553,1370,1504,1288,1276,1127,962,882,945,743,807,958,947
Grand Av,E of 17th St,Knox,47000411,TDOT,,93000411,ACTIVE,,-83.93465088,35.96212686,4158,4044,4102,4910,4015,4056,3703,3487,3644,4008,3605,3320,3188,3291,3063,2999,3029,5085,4235,4028,4130,3192,2817,3709
Neyland Dr,NW of Third Creek,Knox,47000413,TDOT,,93000413,ACTIVE,,-83.94011388,35.94387486,21256,22993,21474,19780,17315,19483,19293,19154,19729,17726,17129,17642,14702,14993,13138,16210,15388,14579,15594,17710,20245,17449,12073,13604
Old Rutledge Pk,E of Branville Rd,Knox,47000040,TDOT,,93000040,ACTIVE,,-83.80990385,36.04522588,1081,1264,1117,1196,1130,1228,1322,1388,1362,1263,1374,971,1003,1042,1147,1028,1123,1018,1002,1102,1167,883,1137,1052
Neyland Dr,E of Stadium Dr,Knox,47000161,TDOT,,93000161,ACTIVE,,-83.92269988,35.95491486,18270,22964,22116,21890,20334,22986,20585,20728,20418,18967,18007,18547,14388,13892,12830,13840,14609,14592,15660,16209,18883,12902,9395,13490
Maynardville Pk,Union Co Line,Knox,47000162,TDOT,,93000162,ACTIVE,,-83.90626289,36.16874691,12747,12879,13505,13134,13715,14111,13743,13536,13210,13615,13584,12712,12204,12284,12653,11630,11954,12171,13813,13322,13910,13336,14065,13910
Lindy Dr,E of Chapman Hwy,Knox,47000485,TDOT,,93000485,ACTIVE,,-83.87253386,35.92295486,,,,,,,,,,,,1528,1423,1478,1442,1248,1412,1482,1518,1308,1526,1190,1336,1321
Lonas Dr,E of Hollywood Rd,Knox,47000486,TDOT,,93000486,ACTIVE,,-83.9818549,35.95735486,,,,,,,,,,,,5680,5509,5107,5337,5698,5378,6284,5876,5613,5801,3820,5958,6628
Joe Hinton Rd,N of Middlebrook Pk,Knox,47000522,TDOT,,93000522,ACTIVE,093M284,-84.06983569,35.94644084,,,,,,,,,,,,,,,,,,7884,7963,7635,7711,8107,7491,7232
Broome Rd,S of Middlebrook Pk,Knox,47000524,TDOT,,93000524,ACTIVE,,-84.04945664,35.94012082,,,,,,,,,,,,,,,,,,1497,1512,1742,1741,1546,1427,1617
Bell Rd,E of Brown Gap Rd,Knox,47000518,TDOT,,93000518,ACTIVE,093M031,-83.90122427,36.09141114,,,,,,,,,,,,,,,,,,1201,1213,1277,1198,1175,1316,1184
Thompson School Rd,N of E Emory Rd,Knox,47000519,TDOT,,93000519,ACTIVE,093M218,-83.86315917,36.12496821,,,,,,,,,,,,,,,,,,3231,2630,3004,2885,2972,2865,2974
Fox Lonas Rd,S of Crest Forest Rd,Knox,47000520,TDOT,,93000520,ACTIVE,093M365,-84.08015171,35.93452881,,,,,,,,,,,,,,,,,,4373,4417,3672,6706,4449,3669,3874
Bridgewater Rd,S of Cross Park Dr,Knox,47000521,TDOT,,93000521,ACTIVE,093M028,-84.07228742,35.92511092,,,,,,,,,,,,,,,,,,9617,9713,10228,10993,11518,9073,8973
Walker Springs Rd,W of N Gallaher View Rd,Knox,47000523,TDOT,,93000523,ACTIVE,,-84.06487868,35.9323248,,,,,,,,,,,,,,,,,,3826,3380,3154,3276,3386,3600,3040
McKamey Rd,W of Ball Camp Pk,Knox,47000527,TDOT,,93000527,ACTIVE,,-84.01386655,35.9759349,,,,,,,,,,,,,,,,,,7149,6592,7260,7956,7250,8204,7906
Solway Rd,N of Solway School Rd,Knox,47000558,TDOT,,93000558,ACTIVE,093M281,-84.18507495,35.97593791,,,,,,,,,,,,,,,,,,,,1642,1888,1772,1861,1872
Outlet Dr,W of Lovell Rd,Knox,47000559,TDOT,,93000559,ACTIVE,093M097,-84.15002788,35.90856276,,,,,,,,,,,,,,,,,,4556,4717,5065,5288,5527,5932,6595
Mill Rd,S of Washington Pk,Knox,47000041,TDOT,,93000041,ACTIVE,,-83.87460487,36.04100888,7171,6734,6663,7062,7287,7378,8359,8578,8701,9894,9901,9756,9793,10623,10133,10611,10870,11392,11519,11840,12215,10212,10834,11631
Jacksboro Pk,S of Essary Dr,Knox,47000042,TDOT,,93000042,ACTIVE,,-83.92176788,36.03752988,8011,8632,7840,7840,7885,8007,8040,7620,8083,7497,7747,6952,7284,6638,7171,7028,7612,7550,7770,7685,7763,7349,7716,8113
Central Avnue Pk,S of Emory Rd,Knox,47000043,TDOT,,93000043,ACTIVE,,-84.00620291,36.03970188,5930,7099,6958,7528,6935,7105,6096,6437,6487,6682,7323,7619,7870,8199,7786,7118,7640,7842,7937,8436,8384,6987,8132,7676
E Emory Rd,W of I-75,Knox,47000044,TDOT,,93000044,ACTIVE,,-84.00280791,36.04736088,19557,16523,17203,18185,18729,19273,19817,18021,18524,19329,18481,19271,18534,19184,19838,17305,18301,18484,17716,24091,21557,19143,24546,23640
Heiskell Rd,N of Mayview Dr,Knox,47000045,TDOT,,93000045,ACTIVE,,-84.01466591,36.04755188,5370,4443,4592,4842,6616,7239,6693,6983,6938,7201,6782,7169,7384,5785,5368,5529,4545,5053,5176,5052,4907,4451,4674,4785
W Emory Rd,E of Conner Rd,Knox,47000046,TDOT,,93000046,ACTIVE,,-84.01325991,36.03868188,12592,12720,13022,13733,13666,14041,12893,13679,14185,14366,14139,13914,13821,15042,14581,12784,16830,18354,19478,19488,19683,17479,20792,20563
W Emory Rd,W of Bridgefield Dr,Knox,47000047,TDOT,,93000047,ACTIVE,,-84.06191192,36.01530687,7541,7819,7419,7948,8368,8467,9140,8872,9077,8792,9426,9512,9006,9336,9480,8866,10074,9985,10620,10161,10440,9870,10841,10984
Middlebrook Pk,W of Francis Rd,Knox,47000368,TDOT,,93000368,ACTIVE,,-84.04091083,35.94134431,24933,25957,26303,27650,26384,27923,30620,29144,26025,23069,23557,22164,22975,22140,21783,22028,24196,23768,24974,20492,23069,20287,18142,23853
S Peters Rd,S of Kingston Pk,Knox,47000369,TDOT,,93000369,ACTIVE,,-84.08012292,35.90982185,16598,17957,20062,17913,19401,18999,19162,18901,19988,19131,16343,15324,15139,16566,16386,16360,18910,18589,20087,16561,18989,21779,17603,18927
Lyons View Dr,W of Arrowhead Tr,Knox,47000370,TDOT,,93000370,ACTIVE,,-83.9827719,35.93680586,14196,15050,14837,14237,12488,14508,15776,14148,14572,12533,12630,11210,11000,12381,10626,11530,10540,11545,12686,11819,11827,11234,11300,13079
Keith Av,E of Liberty St,Knox,47000371,TDOT,,93000371,ACTIVE,,-83.96373289,35.96658986,5552,5949,6790,5550,3957,3914,4005,4290,4314,4443,2946,2909,2996,3011,3411,2628,2732,2636,2279,2239,2134,1895,1834,2047
S Gay St,S of W Jackson Ave,Knox,47000372,TDOT,,93000372,ACTIVE,,-83.92067988,35.96873986,8755,6598,6845,6785,3763,3217,3314,3413,3515,3620,3501,3606,3643,3752,1504,1597,1959,2174,2402,1794,2236,1986,2085,2062
Summit Hill Dr,E of Mulvaney St,Knox,47000373,TDOT,,93000373,ACTIVE,,-83.91517134,35.96974463,15153,12444,16982,15727,11692,14596,14890,9956,11149,10733,11111,9796,10112,10415,10257,10031,9732,9995,10030,10510,9140,11115,9018,12029
Tipton Station Rd,E. of Martin Mill Pike,Knox,47000514,TDOT,,93000514,ACTIVE,,-83.89179128,35.88533468,,,,,,,,,,,,,,,,,3000,3258,3291,6017,2798,4389,3647,3881
Cecil Ave,W. of Whittle Springs Road,Knox,47000515,TDOT,,93000515,ACTIVE,,-83.91164231,35.99445992,,,,,,,,,,,,,,,,,8000,5301,5251,4562,5280,4619,5266,5281
Tipton Station Rd,E. of Maryville Pk (SR-33),Knox,47000516,TDOT,,93000516,ACTIVE,093M377,-83.93542038,35.87426966,,,,,,,,,,,,,,,,,2950,1058,1069,1476,1556,1618,1380,1509
Merchant Dr,E of Pleasant Ridge Rd,Knox,47000379,TDOT,,93000379,ACTIVE,,-83.9981869,35.99283387,11172,11384,11868,11153,10816,10398,10963,10884,9803,8959,8590,8854,8472,8453,9229,9359,9043,9634,9898,8478,9402,8925,9155,10209
Cedar Ln,E of Central Avenue Pk,Knox,47000380,TDOT,,93000380,ACTIVE,,-83.9694169,36.01232187,21157,21394,23541,20887,20789,20738,19021,19764,19830,18121,17714,18786,17706,18734,19163,18645,17551,19268,20084,19003,18672,16250,18006,18146
Woodland Av,W of Broadway,Knox,47000381,TDOT,,93000381,ACTIVE,,-83.92203388,35.99337587,15027,13026,14785,14198,13687,13808,12909,12311,12357,12279,12529,11223,11125,11190,10807,10266,10486,10168,10880,10703,10652,7034,6770,7396
Washington Pk,E of Broadway,Knox,47000382,TDOT,,93000382,ACTIVE,,-83.92138788,35.99635187,6017,6258,6707,5836,6642,7243,5972,6541,6240,6058,6267,6455,4910,4971,5125,5320,5531,5501,5704,5450,5175,5052,5356,5297
Washington Pk,N of I-640,Knox,47000383,TDOT,,93000383,ACTIVE,,-83.88756587,36.03367288,13014,12964,13274,13940,14048,14979,15090,15634,18118,18221,18232,17806,17199,19155,19545,20131,19526,21108,21030,20566,20856,19908,20740,20734
Millertown Pk,S of Loves Creek Rd,Knox,47000384,TDOT,,93000384,ACTIVE,,-83.86965787,36.03347788,15874,15943,16105,13815,14985,15479,15157,16458,17187,16479,16408,17873,16633,17002,17260,19295,17201,18816,20482,20914,18428,16843,18004,17806
Asheville Hwy,E of Holston River,Knox,47000385,TDOT,,93000385,ACTIVE,,-83.83039437,36.01495908,37345,36055,36626,39337,39984,35975,39355,34847,36193,34495,31188,31145,31581,32016,32390,32770,34571,35401,36244,35762,36225,32168,35477,40265
N Central St,S of Morelia Ave,Knox,47000457,TDOT,Formerly TDOT site number 991 (093T991),93000457,ACTIVE,,-83.94135589,35.99112987,9678,11653,10926,9245,9797,10091,9573,9936,9289,9568,8766,8370,7979,8797,8772,8951,8660,8882,8186,8023,7833,7343,8465,8313
SR 61,S of Union County Line,Knox,47000452,TDOT,,93000452,ACTIVE,,-83.73633383,36.16361791,,,,,,,1728,1780,1833,2159,2019,2311,2220,2281,2039,2097,2184,2452,2557,2834,2669,2947,3022,3012
Millertown Pk,E of Robin Ben Ln,Knox,47000340,TDOT,,93000340,ACTIVE,,-83.82079185,36.05609189,2412,2436,2288,2551,2533,2728,3028,2758,2767,3052,2984,2760,2445,2521,2477,2578,2474,2940,3138,3121,3310,2940,3243,3303
W Emory Rd,W of Shropshire Dr,Knox,47000048,TDOT,,93000048,ACTIVE,,-84.04875192,36.02011687,14112,14312,15488,14515,14129,14636,13693,13577,13790,12529,12992,12725,12333,12378,13327,12019,13572,13708,13830,8562,8882,7887,9326,8494
Clinton Hwy,S of Old Clinton Hwy,Knox,47000049,TDOT,,93000049,ACTIVE,,-84.03264391,36.01036787,32314,28973,31950,33695,36633,45842,31769,31275,30279,28302,28256,29186,28142,29297,30371,27026,29596,29855,30092,26147,29281,24426,25986,27321
Cross Park Dr,W of Park Village Rd,Knox,47000551,TDOT,,93000551,ACTIVE,093M026,-84.08496272,35.92289179,,,,,,,,,,,,,,,,,,7611,7490,7870,7739,8585,6774,7049
Park Village Rd,S of Dutchtown Rd,Knox,47000552,TDOT,,93000552,ACTIVE,093M366,-84.08755473,35.92589779,,,,,,,,,,,,,,,,,,8643,8729,8390,15888,10293,8454,8853
Mabry Hood Rd,N or Sherrill Blvd,Knox,47000553,TDOT,,93000553,ACTIVE,093M272,-84.12499682,35.92218379,,,,,,,,,,,,,,,,,,,578,424,606,517,395,476
Bob Kirby Rd,W of Middlebrook Pike,Knox,47000554,TDOT,,93000554,ACTIVE,093M269,-84.1187188,35.94612584,,,,,,,,,,,,,,,,,,3368,3402,3607,4178,4306,4490,4566
Snyder Rd,W of Lovell Rd,Knox,47000555,TDOT,,93000555,ACTIVE,093M274,-84.15097888,35.9240333,,,,,,,,,,,,,,,,,,2802,2989,3019,3013,2688,4023,3850
Buttermilk Rd,W of Everett Rd,Knox,47000556,TDOT,,93000556,ACTIVE,,-84.24972611,35.88747672,,,,,,,,,,,,,,,,,,990,1000,861,707,818,920,726
Sam Lee Rd,W of Solway Rd,Knox,47000557,TDOT,,93000557,ACTIVE,093M278,-84.17078492,35.95617587,,,,,,,,,,,,,,,,,,436,415,646,1246,1258,1906,2029
Sevierville Pike,E of Lindy Ave,Knox,47000595,TDOT,,93000595,ACTIVE,,-83.86668122,35.92628877,,,,,,,,,,,,,,,,,,1829,1915,1714,2257,1865,1915,1894
Whittle Springs Rd,N of Cecil Ave,Knox,47000597,TDOT,,93000597,ACTIVE,,-83.9099533,35.99580093,,,,,,,,,,,,,,,,,,4803,4875,5193,5358,4888,4722,5177
Bishop Rd,N of E Emory Rd,Knox,47000596,TDOT,,93000596,ACTIVE,093M211,-83.98890148,36.05646407,,,,,,,,,,,,,,,,,,2680,2707,2734,2721,2683,2817,2786
York Rd,SW of Hill Rd,Knox,47000387,TDOT,,93000387,ACTIVE,,-83.9523119,36.11972489,162,118,100,402,385,396,422,365,376,357,362,410,374,401,360,390,346,374,126,131,151,109,114,115
Turkey Creek Rd,E of Loudon Co,Knox,47000305,TDOT,,93000305,ACTIVE,,-84.16491394,35.85143583,1040,1777,1381,1457,1441,1484,1629,1487,1708,1828,1526,1676,1831,1915,1823,2050,2213,2423,2969,2889,2664,2264,4453,4404
Main St,W of Henley St,Knox,47000267,TDOT,,93000267,ACTIVE,,-83.92122888,35.95999986,12712,14592,15030,16933,10978,15778,10355,9606,9659,9949,8880,7955,6797,6784,6988,6711,7398,7580,6387,6948,6878,6140,7117,6526
Main St,E of Walnut St,Knox,47000268,TDOT,,93000268,ACTIVE,,-83.91788788,35.96115986,7323,6339,6261,6504,5965,6376,6276,6421,5748,5920,5266,5008,4680,4820,4965,4250,4101,4229,4271,4200,4677,4153,2749,2884
Washington Pk,N of Shipe Rd,Knox,47000018,TDOT,,93000018,ACTIVE,,-83.81930286,36.08993689,2958,3265,3285,3309,3141,3655,3373,3804,4044,3981,3633,3600,3615,3553,3461,3492,3562,3749,3800,3731,3812,3637,3456,3484
Maynardville Pk,NE of Scenic View Dr,Knox,47000020,TDOT,,93000020,ACTIVE,,-83.92014889,36.09157589,16261,17982,18113,17418,18030,18707,17360,16502,16980,16968,16645,16050,16535,15646,14905,15179,15634,15790,16154,17116,24987,15102,17075,16887
Hill Rd,N of McCloud Rd,Knox,47000021,TDOT,,93000021,ACTIVE,,-83.93749589,36.09510789,2260,2897,2783,2704,2575,3258,3323,3501,3298,3425,3585,3472,3463,3342,3529,3308,3969,3831,4204,4207,3869,3141,3663,3711
N Broadway,S of Old Broadway,Knox,47000052,TDOT,,93000052,ACTIVE,,-83.92412688,36.01238687,26428,26818,28517,27312,27030,27301,24235,24468,25495,23227,25068,22488,20098,23160,21995,21444,21799,21510,21645,20250,21037,15315,18242,16859
Greenway Dr,E of Ena Rd,Knox,47000053,TDOT,,93000053,ACTIVE,,-83.91817588,36.02290988,1355,1524,1533,1406,1563,1604,1434,1394,1498,1438,1436,1567,1171,1137,1300,1037,1201,1168,1260,1079,1146,1285,1051,1112
Tazewell Pk,E of Felix Rd,Knox,47000054,TDOT,,93000054,ACTIVE,,-83.92049188,36.02903688,16038,14211,15736,15018,15638,15949,16039,15759,15288,15220,15484,14654,15223,14726,15459,14610,15887,16873,17087,16580,16931,14856,15302,15787
Harris Rd,SE of Woods Creek Rd,Knox,47000055,TDOT,,93000055,ACTIVE,,-83.84704286,36.03725788,667,728,726,728,623,803,883,753,700,767,739,725,739,773,835,960,879,928,955,911,975,784,1213,901
Rutledge Pk,W of I-640,Knox,47000056,TDOT,,93000056,ACTIVE,,-83.86340486,36.01582588,18200,19433,17641,17599,17296,18044,19094,18333,18015,19003,18973,16679,16632,18312,18226,19466,22301,22744,24782,21224,20613,18313,21875,21116
Asheville Hwy,W of Carta Rd,Knox,47000057,TDOT,,93000057,ACTIVE,,-83.85859072,36.00467232,15433,16875,15349,15629,15791,15953,12616,11899,13041,11348,14350,13663,11209,9924,10416,10025,10125,9759,9140,7440,8428,9617,10098,9987
Asheville Hwy,E of Molly Bright Rd,Knox,47000058,TDOT,,93000058,ACTIVE,,-83.74330618,36.02474525,24859,22589,24717,21629,23260,24672,23997,23452,22162,22827,21812,21673,23765,22082,22241,23058,20185,20386,23094,23115,24039,20616,20557,22409
Old Clinton Pk Rd,At Anderson Co Line,Knox,47000185,TDOT,,93000185,ACTIVE,,-84.06303592,36.03214887,698,1078,946,1135,981,1135,1112,1042,972,1137,1081,803,786,821,967,996,1117,703,1020,670,716,643,997,1010
W Brushy Valley Dr,At Anderson Co Line,Knox,47000186,TDOT,,93000186,ACTIVE,,-84.06893093,36.04607387,687,687,750,851,738,798,844,784,742,731,800,874,813,726,786,812,849,705,736,1787,1805,906,1091,1032
Bell Campground Rd,S of Bullrun Valley Dr,Knox,47000187,TDOT,,93000187,ACTIVE,,-84.07561793,36.05340388,289,322,312,414,275,328,335,271,331,300,298,294,307,290,300,336,332,318,335,345,316,369,360,325
Raccoon Valley Dr,N of Beech Grove Rd,Knox,47000198,TDOT,,93000198,ACTIVE,,-83.9353219,36.17883391,558,493,527,545,552,617,557,603,601,568,607,551,513,580,606,442,558,515,520,554,628,583,608,585
Loyston Rd,N of Thomas Weaver Rd,Knox,47000199,TDOT,,93000199,ACTIVE,,-83.92594289,36.16658891,1803,1726,1876,2018,1867,1947,1817,1752,1626,1568,1380,1597,1503,1675,1374,1420,1260,1320,1440,1331,1693,1475,1255,1315
Corryton Rd,At Union Co Line,Knox,47000206,TDOT,,93000206,ACTIVE,,-83.79930585,36.16608691,1445,1443,1509,1463,1448,1499,1680,1562,1597,1526,1473,1320,1249,1286,1336,1358,1268,1464,1424,1548,1370,1443,1524,1386
Rutledge Pk,At Grainger Co Line,Knox,47000213,TDOT,,93000213,ACTIVE,,-83.71748668,36.1321474,8600,7646,8102,8342,8481,8620,8514,8417,8696,8535,8655,8845,9405,8639,8801,7620,7696,10733,11125,10876,11049,10981,11074,10696
Andrew Johnson Hwy,At Jefferson Co Line,Knox,47000218,TDOT,,93000218,ACTIVE,,-83.69302582,36.05765289,28265,20801,19950,23512,18340,17449,18602,16685,18282,16967,16798,16307,16603,16466,17134,16472,18133,18597,19341,17115,17916,15538,18274,16988
Asheville Hwy,At Jefferson Co Line,Knox,47000221,TDOT,,93000221,ACTIVE,,-83.67352481,36.01789588,4574,4855,4497,4493,4488,4680,4605,4361,4245,3918,3949,3828,3969,3673,3607,3637,3964,3827,4168,3977,3757,4091,4008,3691
Coleman Rd,S of Lonas Dr,Knox,47000488,TDOT,,93000488,ACTIVE,093C494,-83.9928509,35.95030786,,,,,,,,,,,,2321,2283,2006,2028,2247,2103,2373,2410,2087,2288,2635,2378,2844
Lake Loudoun Blvd,N of Philllip Fulmer Way,Knox,47000489,TDOT,,93000489,ACTIVE,,-83.92707788,35.95084786,,,,,,,,,,,,5384,7119,6855,7061,7320,7503,7122,7343,7481,8608,7046,7398,4997
N Chilhowee Dr,N of Asheville Hwy,Knox,47000491,TDOT,,93000491,ACTIVE,,-83.85044086,36.00757387,,,,,,,,,,,,5183,5338,5346,4950,5101,6059,5205,5605,4357,5490,5380,5356,5884
Valley View Dr,E of Saylor Ct,Knox,47000587,TDOT,,93000587,ACTIVE,,-83.9102873,36.01798798,,,,,,,,,,,,,,,,,,2580,2852,2872,2734,2438,2363,2337
Deane Hill Dr,W of Kingston Pk,Knox,47000588,TDOT,,93000588,ACTIVE,,-84.00941255,35.93023879,,,,,,,,,,,,,,,,,,,,6609,5795,5146,6314,4867
Montview Rd,S of Kingston Pk,Knox,47000589,TDOT,,93000589,ACTIVE,,-84.04190562,35.92600979,,,,,,,,,,,,,,,,,,19445,19639,16544,15937,13628,14506,16852
Buffat Mill Rd,W of North Hills Blvd,Knox,47000590,TDOT,,93000590,ACTIVE,,-83.906269,36.00479528,,,,,,,,,,,,,,,,,,2057,2078,2299,2390,2063,1959,2192
Prosser Rd,S of Buffat Mill Rd,Knox,47000591,TDOT,,93000591,ACTIVE,,-83.89131226,36.00845495,,,,,,,,,,,,,,,,,,2371,2216,2524,2829,2427,2277,2497
